project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2007384,02-16-2023 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2023-02-16 00:00:00,2023-04-05 00:00:00,None,,Other,2 Fallen logs,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-30-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-04-30 00:00:00,2024-05-22 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-15-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-02-15 00:00:00,2024-03-11 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-06-2023 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2023-06-06 00:00:00,2023-07-05 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-15-2022 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2022-06-15 00:00:00,2022-06-22 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-01-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-04-01 00:00:00,2022-04-18 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,09-06-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-09-06 00:00:00,2024-09-16 00:00:00,None,,Other,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-17-2023 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2023-02-16 00:00:00,2023-03-30 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-11-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-11-11 00:00:00,2024-12-09 00:00:00,None,,Other,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-22-2021 Camera 2 Edge,Temple Forest Observatory,-75.195362,40.163652,2021-06-22 00:00:00,2021-07-20 00:00:00,None,,Other,3 Clear trees,2103474,Camera 2,0,Camera Functioning,Unknown,,Varies,,,,,,,,,,,
2007384,02-14-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-02-14 00:00:00,2022-02-22 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-28-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-10-28 00:00:00,2024-11-11 00:00:00,None,,Other,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-30-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-04-30 00:00:00,2024-05-22 00:00:00,None,,None,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,08-01-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-08-01 00:00:00,2024-09-06 00:00:00,None,,Other,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-14-2023 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2023-02-14 00:00:00,2023-03-30 00:00:00,None,,Other,Fallen bundle of branches,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-17-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-07-17 00:00:00,2024-08-01 00:00:00,None,,Other,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-30-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-06-30 00:00:00,2022-08-18 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-01-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-10-01 00:00:00,2024-10-14 00:00:00,None,,Other,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-15-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-02-15 00:00:00,2024-03-11 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-01-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-10-01 00:00:00,2024-10-14 00:00:00,None,,Other,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-17-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-07-17 00:00:00,2024-08-01 00:00:00,None,,Other,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-03-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-07-03 00:00:00,2024-07-17 00:00:00,None,,Other,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-01-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-10-01 00:00:00,2024-10-14 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,09-30-2021 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2021-09-30 00:00:00,2021-10-01 00:00:00,None,,None,,2103920,Camera 3,0,Unknown Failure,Knee height,,Parallel,,,,,,,,,,,
2007384,08-01-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-08-01 00:00:00,2024-09-06 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-06-2023 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2023-06-06 00:00:00,2023-07-05 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-22-2021 Camera 4 Interior,Temple Forest Observatory,-75.195362,40.163652,2021-06-22 00:00:00,2021-07-20 00:00:00,None,,Other,Fallen Trees,2103484,Camera 4 interior,0,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2007384,03-10-2022 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2022-03-10 00:00:00,2022-04-01 00:00:00,None,,Other,White pole on side,2103920,Camera 3,0,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2007384,09-16-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-09-16 00:00:00,2024-10-01 00:00:00,None,,Other,,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,03-29-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-03-29 00:00:00,2024-04-12 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-22-2022 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2022-02-22 00:00:00,2022-03-10 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-14-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-10-14 00:00:00,2024-10-28 00:00:00,None,,Other,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-4-2021 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2021-09-13 00:00:00,2021-09-19 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,10-28-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-10-28 00:00:00,2024-11-11 00:00:00,None,,Other,Tree in Center View,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-13-2025 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2025-02-13 00:00:00,2025-02-26 00:00:00,None,,Other,Tree in Center of View,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,11-11-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-11-11 00:00:00,2024-12-09 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-22-2021 Camera 3 Interior,Temple Forest Observatory,-75.195362,40.163652,2021-06-22 00:00:00,2021-07-20 00:00:00,None,,Other,2 separated trees,2103482,Camera 3 Interior,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-01-2023 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2023-04-01 00:00:00,2023-05-17 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-14-2022 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2022-02-14 00:00:00,2022-02-22 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-19-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-06-19 00:00:00,2024-07-03 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-14-2022 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2022-02-14 00:00:00,2022-02-22 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-18-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-04-18 00:00:00,2022-05-25 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,02-15-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-02-15 00:00:00,2024-03-11 00:00:00,None,,None,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,01-23-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-01-23 00:00:00,2024-02-15 00:00:00,None,,Other,Fallen branches covering most of bottom view,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,01-23-2024 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2024-01-23 00:00:00,2024-02-15 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,09-28-2022 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2022-09-28 00:00:00,2022-10-27 00:00:00,None,,None,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
